year,matric ,fsc,et,deduction,merit,Eligibility
2018,20,20,10,0,50.855,0
2018,20,20,10,0,50.844,0
2017,21,21,11,2,52.673,0
2018,20,20,10,0,50.673,0
2018,20,20,10,0,50.436,0
2017,21,21,10,2,52.327,0
2018,20,20,10,0,50.273,0
2018,20,20,10,0,50.218,0
2018,20,20,10,0,50.164,0
2018,20,20,10,0,49.909,0
2016,22,22,11,4,53.836,0
2017,21,21,10,2,51.545,0
2017,21,21,10,2,51.418,0
2017,20,20,10,0,49.4,0
2018,20,20,10,0,49.321,0
2017,20,20,10,2,51.101,0
2018,20,20,10,0,48.818,0
2018,19,19,10,0,48.673,0
2016,21,21,11,4,52.636,0
2018,19,19,10,0,48.6,0
2018,19,19,10,0,48.182,0
2018,19,19,10,0,48.127,0
2018,19,19,10,0,48.109,0
2018,19,19,10,0,47.945,0
2018,19,19,10,0,47.691,0
2018,19,19,9,0,47.436,0
2016,20,20,10,4,50.844,0
2018,19,19,9,0,46.782,0
2018,18,18,9,0,46.236,0
2005,18,18,9,0,46.21,0
2014,22,22,11,8,54.055,0
2018,37.63636364,35.52727273,12.8,0,83.13,1
2018,36.21818182,36.36363636,11.6,0,83.02,1
2018,34.72727273,35.34545455,12,0,81.67,1
2018,34.29090909,34.94545455,12,0,80.96,1
2018,35.49090909,32.61818182,15.2,0,80.89,1
2018,35.89090909,34.65454545,12.8,2,79.9,1
2018,38.83636364,33.92727273,11.6,0,79.51,1
2018,37.81818182,35.38181818,10.4,0,79.39,1
2018,37.49090909,34.69090909,11.6,0,79.09,1
2018,35.67272727,34.32727273,10.8,0,78.78,1
2018,35.2,34.76363636,12,2,77.59,1
2018,36.98181818,31.01818182,14,2,76.99,1
2018,33.23636364,31.85454545,12.4,0,76.87,1
2018,33.34545455,32.36363636,12.8,0,76.18,1
2018,34.76363636,32.54545455,11.6,0,76.15,1
2018,34.4,34.25454545,9.2,0,75.83,1
2018,33.78181818,33.09090909,10.4,0,75.79,1
2018,25.49090909,32.18181818,12.4,0,75.63,1
2018,35.92727273,29.85454545,13.2,0,75.19,1
2018,33.67272727,31.45454545,12,0,74.84,1
2018,35.6,31.30909091,10.8,0,74.53,1
2018,34.47272727,30.98181818,12,0,74.46,1
2018,35.96363636,33.34545455,10,0,74.27,1
2018,24.8,33.30909091,11.2,0,74.15,1
2018,32.94545455,34.8,9.2,0,74.05,1
2018,36.83636364,30.94545455,10.4,0,73.85,1
2018,33.63636364,33.01818182,9.2,0,73.83,1
2018,33.71428571,33.23636364,8.8,0,73.57,1
2018,32.21818182,30.54545455,11.6,0,73.48,1
2018,33.01818182,32.03636364,10,0,73.44,1
2018,35.01818182,33.49090909,8,0,73.18,1
2018,30.98181818,33.16363636,9.2,0,73.11,1
2018,34.32727273,32.32727273,10.8,2,73.09,1
2018,31.89090909,33.6,8.4,0,72.84,1
2018,34.47272727,33.56363636,7.6,0,72.49,1
2018,31.49090909,31.16363636,11.2,0,72.47,1
2018,36.76363636,31.67272727,10.4,2,72.43,1
2018,33.23636364,33.34545455,8,0,72.35,1
2018,34.10909091,32.50909091,8.4,0,72.09,1
2018,28.50909091,32.50909091,9.6,0,71.93,1
2018,28.54545455,33.34545455,8.8,0,71.91,1
