University ,Department,Year of passing ,Matric,Fsc ,ET,Deduction,Merit In %age,Eligibility
1,10,2015,26,26,13,6,65.8,1
1,10,2018,24,24,12,0,59.7,0
1,10,2018,24,24,12,0,59.7,0
1,10,2018,24,24,12,0,59.7,0
1,10,2018,24,24,12,0,59.6,0
1,10,2018,24,24,12,0,59.6,0
1,10,2018,24,24,12,0,59.6,0
1,10,2018,24,24,12,0,59.6,0
1,10,2018,24,24,12,0,59.5,0
1,10,2017,25,25,12,2,61.5,1
1,10,2018,24,24,12,0,59.3,0
1,10,2018,24,24,12,0,59.2,0
1,10,2018,24,24,12,0,59.2,0
1,10,2017,24,24,12,2,61.2,1
1,10,2018,24,24,12,0,59.1,0
1,10,2018,24,24,12,0,59.1,0
1,10,2018,24,24,12,0,59.1,0
1,10,2018,24,24,12,0,59,0
1,10,2018,24,24,12,0,59,0
1,10,2018,24,24,12,0,59,0
1,10,2018,24,24,12,0,58.9,0
1,10,2017,24,24,12,2,60.9,1
1,10,2018,24,24,12,0,58.8,0
1,10,2018,24,24,12,0,58.8,0
1,10,2018,23,23,12,0,58.7,0
1,10,2018,23,23,12,0,58.6,0
1,10,2018,23,23,12,0,58.5,0
1,10,2018,23,23,12,0,58.5,0
1,10,2017,24,24,12,2,60.5,1
1,10,2018,23,23,12,0,58.5,0
1,10,2018,23,23,12,0,58.3,0
1,10,2018,23,23,12,0,58.3,0
1,10,2018,23,23,12,0,58.3,0
1,10,2017,24,24,12,2,60.2,1
1,10,2018,23,23,12,0,58.1,0
1,10,2018,23,23,12,0,58.1,0
1,10,2017,24,24,12,2,60,1
1,10,2018,23,23,12,0,58,0
1,10,2018,23,23,12,0,58,0
1,10,2018,23,23,12,0,58,0
1,10,2018,23,23,12,0,57.9,0
1,10,2018,23,23,12,0,57.9,0
1,10,2018,23,23,12,0,57.8,0
1,10,2018,23,23,12,0,57.8,0
1,10,2017,24,24,12,2,59.8,0
1,10,2018,23,23,12,0,57.8,0
1,10,2018,23,23,12,0,57.7,0
1,10,2018,23,23,12,0,57.7,0
1,10,2018,23,23,12,0,57.7,0
1,10,2018,23,23,12,0,57.6,0
1,10,2018,23,23,12,0,57.6,0
1,10,2018,23,23,12,0,57.6,0
1,10,2018,23,23,11,0,57.3,0
1,10,2018,23,23,11,0,57.3,0
1,10,2018,23,23,11,0,57.1,0
1,10,2018,23,23,11,0,57.1,0
1,10,2018,23,23,11,0,57.1,0
1,10,2018,23,23,11,0,57,0
1,10,2018,23,23,11,0,57,0
1,10,2018,23,23,11,0,57,0
1,10,2018,23,23,11,0,57,0
1,10,2015,25,25,13,6,62.9,1
1,10,2017,24,24,12,2,58.9,0
1,10,2018,23,23,11,0,56.9,0
1,10,2015,25,25,13,6,62.9,1
1,10,2018,23,23,11,0,56.9,0
1,10,2018,23,23,11,0,56.8,0
1,10,2018,23,23,11,0,56.7,0
1,10,2018,23,23,11,0,56.7,0
1,10,2018,23,23,11,0,56.6,0
1,10,2018,23,23,11,0,56.5,0
1,10,2018,23,23,11,0,56.5,0
1,10,2018,23,23,11,0,56.5,0
1,10,2018,23,23,11,0,56.4,0
1,10,2018,23,23,11,0,56.4,0
1,10,2018,23,23,11,0,56.4,0
1,10,2018,23,23,11,0,56.4,0
1,10,2018,23,23,11,0,56.3,0
1,10,2017,23,23,12,2,58.3,0
1,10,2018,23,23,11,0,56.3,0
1,10,2018,22,22,11,0,56.1,0
1,10,2018,22,22,11,0,56,0
1,10,2018,22,22,11,0,56,0
1,10,2018,22,22,11,0,56,0
1,10,2018,22,22,11,0,56,0
1,10,2016,24,24,12,4,59.9,0
1,10,2018,22,22,11,0,55.9,0
1,10,2018,22,22,11,0,55.9,0
1,10,2018,22,22,11,0,55.9,0
1,10,2017,23,23,12,2,57.9,0
1,10,2018,22,22,11,0,55.7,0
1,10,2018,22,22,11,0,55.7,0
1,10,2018,22,22,11,0,55.7,0
1,10,2018,22,22,11,0,55.6,0
1,10,2018,22,22,11,0,55.4,0
1,10,2018,22,22,11,0,55.4,0
1,10,2018,22,22,11,0,55.3,0
1,10,2018,22,22,11,0,55.3,0
1,10,2017,23,23,11,2,57.2,0
1,10,2018,22,22,11,0,55.2,0
1,10,2017,23,23,11,2,57.2,0
1,10,2018,22,22,11,0,55.2,0
1,10,2018,22,22,11,0,55.1,0
1,10,2018,22,22,11,0,55,0
1,10,2018,22,22,11,0,55,0
1,10,2018,22,22,11,0,55,0
1,10,2017,23,23,11,2,57,0
1,10,2018,22,22,11,0,54.9,0
1,10,2018,22,22,11,0,54.9,0
1,10,2018,22,22,11,0,54.9,0
1,10,2018,22,22,11,0,54.9,0
1,10,2018,22,22,11,0,54.8,0
1,10,2018,22,22,11,0,54.7,0
1,10,2018,22,22,11,0,54.7,0
1,10,2018,22,22,11,0,54.6,0
1,10,2018,22,22,11,0,54.6,0
1,10,2018,22,22,11,0,54.6,0
1,10,2018,22,22,11,0,54.5,0
1,10,2018,22,22,11,0,54.5,0
1,10,2018,22,22,11,0,54.4,0
1,10,2018,22,22,11,0,54.3,0
1,10,2017,22,22,11,2,56.2,0
1,10,2018,22,22,11,0,54.2,0
1,10,2018,22,22,11,0,54.1,0
1,10,2018,22,22,11,0,54.1,0
1,10,2018,22,22,11,0,53.9,0
1,10,2018,22,22,11,0,53.9,0
1,10,2017,22,22,11,2,55.8,0
1,10,2018,22,22,11,0,53.8,0
1,10,2018,22,22,11,0,53.8,0
1,10,2018,21,21,11,0,53.7,0
1,10,2018,21,21,11,0,53.6,0
1,10,2018,21,21,11,0,53.6,0
1,10,2018,21,21,11,0,53.6,0
1,10,2017,22,22,11,2,55.5,0
1,10,2017,22,22,11,2,55.4,0
1,10,2016,23,23,11,4,57.3,0
1,10,2018,21,21,11,0,53.2,0
1,10,2018,21,21,11,0,53.2,0
1,10,2016,23,23,11,4,57.2,0
1,10,2017,21,21,11,0,52.9,0
1,10,2018,21,21,11,0,52.8,0
1,10,2018,21,21,11,0,52.7,0
1,10,2018,21,21,11,0,52.7,0
1,10,2018,21,21,11,0,52.6,0
1,10,2018,21,21,11,0,52.6,0
1,10,2018,21,21,10,0,52.5,0
1,10,2018,21,21,10,0,52.4,0
1,10,2018,21,21,10,0,52.3,0
1,10,2018,21,21,10,0,52.3,0
